# replica x Q2 F2nu FLnu xF3nu F2nub FLnub xF3nub
48 1.000000e-02 4.000000e+00 1.582543e+00 3.661096e-01 -3.740984e-02 1.500871e+00 1.616416e-01 1.697791e-02
48 1.000000e-02 1.000000e+02 1.683617e+00 1.825702e-01 2.118106e-01 1.932493e+00 3.264362e-01 1.273632e-03
49 1.000000e-02 4.000000e+00 1.269037e+00 -4.066783e-02 3.391781e-02 1.598999e+00 -6.629938e-02 6.696767e-01
49 1.000000e-02 1.000000e+02 1.880446e+00 -2.863972e-01 4.099289e-01 2.342195e+00 -1.900076e-01 8.057364e-01
50 1.000000e-02 4.000000e+00 1.390746e+00 6.166522e-01 3.953576e-01 1.402455e+00 5.280254e-01 2.128246e-01
50 1.000000e-02 1.000000e+02 2.174184e+00 4.467928e-01 2.419316e-01 1.957480e+00 5.627559e-01 2.968689e-01
51 1.000000e-02 4.000000e+00 1.547934e+00 1.593548e-02 -5.002897e-01 1.543559e+00 -2.601111e-01 5.000189e-01
51 1.000000e-02 1.000000e+02 1.908051e+00 -2.544272e-01 -4.781652e-01 2.293993e+00 -4.052885e-01 2.202728e-02
52 1.000000e-02 4.000000e+00 1.466121e+00 -6.588628e-01 -2.919397e-01 1.725919e+00 -3.660614e-01 9.727374e-01
52 1.000000e-02 1.000000e+02 1.726409e+00 -9.269487e-01 -5.663295e-01 2.515620e+00 -5.962942e-01 9.902770e-01
53 1.000000e-02 4.000000e+00 1.897054e+00 5.266876e-01 5.820822e-01 1.786289e+00 8.788274e-01 9.431159e-02
53 1.000000e-02 1.000000e+02 3.585941e+00 1.097595e+00 -5.476028e-01 3.258952e+00 1.240029e+00 -7.451645e-01
54 1.000000e-02 4.000000e+00 1.616286e+00 6.615931e-01 1.677734e-01 1.936747e+00 1.386334e-01 5.166128e-01
54 1.000000e-02 1.000000e+02 1.691412e+00 2.422084e-01 7.077843e-02 2.239712e+00 4.256541e-02 2.595465e-01
55 1.000000e-02 4.000000e+00 1.612934e+00 1.325868e+00 2.754092e-01 1.958282e+00 1.052804e+00 4.149042e-01
55 1.000000e-02 1.000000e+02 1.978751e+00 7.343662e-01 3.492708e-01 2.014509e+00 1.791360e-01 7.312008e-01
56 1.000000e-02 4.000000e+00 1.743840e+00 -1.046291e+00 1.402507e-01 1.481769e+00 6.414013e-01 3.582404e-01
56 1.000000e-02 1.000000e+02 2.603477e+00 1.931540e+00 3.722510e-01 2.415034e+00 -3.721143e-01 2.214655e-02
57 1.000000e-02 4.000000e+00 1.622068e+00 3.455032e-01 -3.525409e-02 1.862980e+00 -1.932904e-01 8.286967e-01
57 1.000000e-02 1.000000e+02 2.146807e+00 3.998294e-01 3.838966e-01 2.303685e+00 -3.984491e-01 7.385352e-01
